text,
 Good game This is the best game I have possibly ever played. I mean it's so addicting i would pay a couple of quid for this game,
 Love this app I find there are a lot of games out there just like this. But I can't stop playing them.,
 Great game Nice graphics and interesting characters,
 Awesome game :) I think this a really cool game tbh it's that sort of game that you would play all day and all night who ever made this game must have literally been a GENIUS. Thank you guys for making this game possible. Though one concern could you make new power ups or new gadgets would appreciate it but GOOD GAME! Thanks,
 Subway surfers This is an amazing game with awesome things and amazing things to unlock and they are now on a tire which is amazing,
 Good I found this app pretty well formed the only bad thing I found was that it was a little hard at the start and that can put people of if it's difficult straight away,
" Love it Wasn't expecting too much from this but having played it i love this game, so addictive and fun",
 A Awesome game,
 Really? This game is funny but it really should be for teens super bad for 9 year olds it should be like for 14+,
" Great app! Has no lag at all, and can very addictive. Great user interface!",
 Doubledown casino Love all the different games reall good app for all. Types I rate five star,
" 5 star game Great game, massive challenge, only fault is that they need to sort out you can still see the status bar at the top of the screen, apart from that it's fantastic",
 Awesome game Awesome game,
 Plumbers crack Awesome and cool,
 Fun FPS! The only thing I really DONT like about this game is the ads that show up every now and then. I would gladly pay to get those taken off so I wouldn't have that distraction. This game is just like a cheesy horror movie withe bad acting and over the top make up effects. You just can't look away!,
 Didn't receive gems! I purchased 2500 gems and they money was taken but the gems weren't there!,
 Addictive! Love this game!,
" Need help pls Is thr a way to move the mail box .also, how do we do fishing ..is thr a way to do fishing pls help pls.",
 Live it Love it,
 Hmmmm Okk but become real repetitive after 5 mins,
" ***AWESOME GAME*** Really good game, good controls with plenty of action. Only down point, the upgrade for tech and weapons take agesssss!!!!  Sort it out lads!! Can't wait for the next one:):):)",
 :) Great game,
" Next Update Ideas You guy should lower prices to every thing in the game and WOULD YOU PLEASE LOWER THE UPGRADE TIME IT TAKES UP MY TIME WHEN I WANNA DO THINGS IN GAME!! Plus and more upgrades, troops and land expansion 
That would be cool. For the troops you should add stuff like a Witch Queen and a Wizard King. Also add stuff like hounds, wolves (I think), battle lions and battle tigers. Also add more defence stuff like dual cannons, x-bow like defence that shoots every 0.80s and lightning cannons that would be awesome. Please do some of these things but mainly do the ones I said at top and it would just make the game great so when my friend starts a war I can have my upgrades finished and have new things. Please do these thing.
Thx",
 Sick Awesome game love playing it,
" Very addictive game This game is very addictive, however the prices to unlock the another player are absolutely a rip off!",
" Game under maintenance On the game you say that the maintenance should be finished in an hour & to follow the steps you say to relaunch the game. Well we did that & still can not get on the game. You need to Fix the problem ASAP, People Pay Money To Play This Game!",
" Fun Addicting, unique.",
 Level 35 If I could give it ten stars I would. Great game!,
 Awesome Love the game play it online everyday but can't play it on my iPad at the mo as they need to update it and allow us to play Pacific bay please update the app,
 Gd Gd game lots to do,
" Better than the web version!! I'm addicted to this game! I played the web version, but I feel this one is better. You get unlimited water and the animals don't need to be fed at a specific time. However, the web version lets you buy animals without limits, nor you need keys (or cash in the web version).",
 Great Great game!!,
